Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
"Rim fragment, number on piece ""west"" D4b #31",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2758.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-670_1
Sitting on a rock under leafless trees,Formerly attributed to Li Gonglin (傳)李公麟 (ca. 1049-1106),China,17th-19th century,Ink and color on paper,H x W (image): 24.8 x 28.8 cm (9 3/4 x 11 5/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images\image2759.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7412_40
"Rim fragment, number on piece ""west"" D4c #10",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2760.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-677_1
Landscape,Cheng Sui (1607-1692),China,17th century,Ink and color on paper,H x W: 143.3 x 53 cm (56 7/16 x 20 7/8 in),Purchase — Charles Lang Freer Endowment,,,Painting,,,,,All_images\image2761.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5123_05
Tomb figure,,China,618-907,,,Gift of Mae W. and Irving H. Jurow,,,Sculpture,,,,,All_images\image2762.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2636_1-000001
Dish,,"Dehua, Fujian province, China",14th century,,,Gift of Dean Frasché,,,Vessel,,,,,All_images\image2763.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2976_1
"Rim fragment, number on piece ""west"" D4c #6",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2764.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-772_1
"Rim fragment, number on piece ""west"" C4i(i) (Rim 72) #46",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2765.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-706_1
"Rim fragment, number on piece ""west"" C4f(i) (Rim 79) #51",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2766.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-783_1
"Ornament: lotus root, leaf and flower",,China,1644-1911,Jade (nephrite),H x W x D: 2.2 x 7.5 x 1.2 cm (7/8 x 2 15/16 x 1/2 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images\image2767.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7522_22
"Rim fragment, number on piece ""west"" C4f(i) (Rim 83) #55",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2768.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-695_1
"Rim fragment of bowl, number on piece D3b",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2769.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-748_1
"Rim fragment, number on piece ""west"" D4b #37",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2770.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-754_1
Garment hook,,China,400-200 BCE,"Bronze, stone",H x W x D: 9 x 2.7 x 1.5 cm (3 9/16 x 1 1/16 x 9/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2771.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_12
Ornament: grotesque animal mask,,China,ca. 1050-771 BCE,Bronze,H x W x D (overall): 5 x 4.3 x 1.5 cm (1 15/16 x 1 11/16 x 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images\image2772.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6923_04
Inkstick,,China,19th century,Soot and glue with gold pigment,H x W: 7.8 x 1.9 cm (3 1/16 x 3/4 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images\image2773.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7777_29
Pavilions in the Fairy Hills,Traditionally attributed to Li Zhaodao 李昭道 (675-758),China,,Hanging scroll; ink and color on silk,H x W: 247.3 x 72.3 cm (97 3/8 x 28 7/16 in),Gift of Elizabeth Meyer Lorentz,,,Painting,,,,,All_images\image2774.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5627_13
Portrait of an elderly unidentified civil official,,China,late 16th century,Ink and colors on silk,H x W: 200.7 x 111.8 cm (79 x 44 in),Gift of Olga Hirshhorn,,,Painting,,,,,All_images\image2775.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8495_01
"Rim fragment, number on piece: 88/8 Fa",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2776.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-637_1
