Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Lidded food cauldron (ding) with painted decoration,,China,206 BCE-220 CE,Bronze,H x W: 13.5 x 16.9 cm (5 5/16 x 6 5/8 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image1.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7597_09
Lidded square ritual wine vessel (fanghu) with painted decoration,,China,206 BCE-220 CE,Bronze,H x W: 17.8 x 10.9 cm (7 x 4 5/16 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image2.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7597_10
Stemmed wine cup with floral scrolls,,China,8th century,Cast silver with chased and ring-punched decoration,H x Diam: 4.3 x 6.6 cm (1 11/16 x 2 5/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image3.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6221_01
Serving vessel with lid (dun) and dragons and ducks,,"Shanxi Province, China",5th century BCE,Bronze,H x W: 15.3 x 16.4 cm (6 x 6 7/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image4.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7373_14
Ritual wine vessel (gu),,China,ca. 12th century BCE,Bronze,H x Diam: 26.4 × 15.1 cm (10 3/8 × 5 15/16 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image5.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7592_13
Lidded ritual food server (dou) with dragon interlace,,China,ca. late 5th-early 4th century BCE,Bronze with gold inlay,H x W x D: 15.2 x 18.8 x 14.1 cm (6 x 7 3/8 x 5 9/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image6.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1939.41a-b_001
"Octagonal mirror with animals, flowerets, and floral scrolls",,China,late 7th–first half of the 8th century,"Cast bronze and applied gold plaque with repoussé, chased, and ring-punched decoration",Diam x D: 5.6 x 0.8 cm (2 3/16 x 5/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image7.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_22
Jingdezhen ware dish,,"Imperial kiln, Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with celadon glaze and cobalt pigment under clear glaze,H x W x D: 8.5 x 47 x 47 cm (3 3/8 x 18 1/2 x 18 1/2 in),Anonymous gift,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image8.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1978.46_001
Foliated mirror with birds and floral scrolls,,China,late 7th-early 8th century,"Cast bronze and applied gold plaque with repoussé, chased, and ring-punched decoration",Diam x D: 22.1 x 1.7 cm (8 11/16 x 11/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image9.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_11
Tripod vessel with cover,,China,1736-1796,"Jade (nephrite), wooden stand",H x W: 25 x 28.3 cm (9 13/16 x 11 1/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image10.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1944.18a-c_001
Ritual vessel (kuei),,China,9th century BCE,Bronze,H x W x D: 24.9 x 37.2 x 26.3 cm (9 13/16 x 14 5/8 x 10 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image11.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1960.19a-b_001
Ritual wine vessel (hu),,China,late 11th-early 10th century BCE,Bronze,H x Diam: 24.3 × 15.3 cm (9 9/16 × 6 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image12.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1959.14a-b_001
Landscape in the style of Wang Meng 《仿王蒙山水圖》,Shen Zhou 沈周 (1427-1509),China,1491,Ink and color on paper,H x W (image): 121.2 x 60.2 cm (47 11/16 x 23 11/16 in),Purchase — Charles Lang Freer Endowment,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image13.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8088_15
Basin (jian) with narrative scenes,,China,ca. 5th century BCE,Bronze,H x W: 28 x 61.4 cm (11 x 24 3/16 in),Gift of Charles Lang Freer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image14.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6333_07
