Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Tea Wrapper,,China,,Ink and silver foil on paper,H x W: 52.5 x 104.9 cm (20 11/16 x 41 5/16 in),Gift of Charles and Catherine Page,,,Costume and Textile,,,,,All_images1.0\image758.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8515_11
"1 of rubbings of stone sculpture at Caves 2 and 3, T'ienlung-shan, Shansi province (FSC-R-329 through FSC-R-340)",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image759.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8495_13
Mounting material with roller and wooden jiku,,China,,Cloth,H x W (top with hanging bar): 64 x 52.9 cm (25 3/16 x 20 13/16 in),Gift of Elizabeth Meyer Lorentz,,,Costume and Textile,,,,,All_images1.0\image760.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8530_29
Lacquered leather box,,China,,Lacquered leather with metal clasp,H x W x D: 6.1 x 33.2 x 18 cm (2 3/8 x 13 1/16 x 7 1/16 in),,,,Container,,,,,All_images1.0\image761.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8514_26
Dagger-axe,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image762.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-287_1-000001
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image763.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-240_1
Tea Wrapper,,China,,Ink and silver foil on paper,H x W: 54 x 112.5 cm (21 1/4 x 44 5/16 in),Gift of Charles and Catherine Page,,,Costume and Textile,,,,,All_images1.0\image764.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8515_13
Rubbing from an individual piece of the Duanfang (Tuan-fang) altar set of bronzes in the Metropolitan Museum of Art,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image765.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8446_24
Axehead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image766.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-278_1-000001
Socket,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Tool and Equipment,,,,,All_images1.0\image767.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-281_1
