Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Pottery: Unidentified form,,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2001.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2919_1
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2002.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2861_1
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2003.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2879_1
Body fragment,,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2004.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3513_1
Figure of a horse,,China,618-906,Glass,H x W x D: 2.7 x 5.1 x 1.9 cm (1 1/16 x 2 x 3/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.281",,,Sculpture,,,,,All_images\image2005.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8080_15
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2006.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2887_1
Figure of an angel,,China,,"Wood, paint, and gold; carved, painted, and gilded",H x W x D: 11.6 x 5.9 x 4.9 cm (4 9/16 x 2 5/16 x 1 15/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.274.2",,,Sculpture,,,,,All_images\image2007.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8083_21
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2008.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2850_1
Jar (hu),,China,221 B.C.-206,Ceramic,H x W x D: 34.3 x 25.6 x 22.6 cm (13 1/2 x 10 1/16 x 8 7/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.328",,,Vessel,,,,,All_images\image2009.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.328.1_001
"Sword, end of handle missing",,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images\image2010.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-122_1-000001
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2011.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2826_1
foot,,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2012.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3549_1
Pottery: Unidentified form,,China,,,,Gift of Mrs. M. Siber,,,Vessel,,,,,All_images\image2013.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2871_1
Fragment,,China,,,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2014.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3829_2
Fragment of wall of a bowl or dish,,China,1279-1368,Stoneware with celadon glaze,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2015.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-902_1
